,Unnamed: 0,Rating,Review,lang,cleaned
5,5,3,"I really like this game, I am currently on level 38 with my friends. However, I caught up with them by pure control and time because they spent money on this game. I often got a lot of kills by Anti- hero rifle of the sniper catagory, but! Due to the earliest update, it really got meddled up! I won jackpots and upgraded this weapon so effortively, but it's now only level 16 with 57 fire rate and 5 capacity. It was use to be one-shot kill, body or head. It costed more than the anti-champion rifle. I really want some other weapons all balanced naturally by stimulating precision between effort the no money spenders have put on it",en,"I really like this game , I be currently on level 38 with my friend . However , I catch up with them by pure control and time because they spend money on this game . I often get a lot of kill by Anti- hero rifle of the sniper catagory , but exclamation_point Due to the early update , it really get meddle up exclamation_point I win jackpot and upgrade this weapon so effortively , but it 's now only level 16 with 57 fire rate and 5 capacity . It be use to be one-shot kill , body or head . It cost more than the anti-champion rifle . I really want some other weapon all balance naturally by stimulate precision between effort the no money spender have put on it"
6,6,3,I like it I can just never get good weapons theirs just to much to buy,en,I like it I can just never get good weapon theirs just to much to buy
10,10,5,I really love this game it contains strategy and other stuff and anyway it has really awesome Huns I could buy that what I think of this game. So I decided to give this app 5 stars,en,I really love this game it contain strategy and other stuff and anyway it have really awesome Huns I could buy that what I think of this game . So I decide to give this app 5 star
17,17,5,It good to play the game,en,It good to play the game
25,25,4,Nice game,en,Nice game
34,34,5,Best game ever I played,en,Best game ever I play
36,36,5,It's awesome,en,It 's awesome
44,44,5,You should get it,en,You should get it
58,58,5,This game has great graphics it has really good gameplay and the controls are lit download it you will love it-Tyler,en,This game have great graphic it have really good gameplay and the control be lit download it you will love it-Tyler
68,68,5,This game is so good,en,This game be so good
69,69,5,It Real  cool,en,It Real cool
80,80,5,This game is the game I liked alot,en,This game be the game I like alot
93,93,5,I love playing this game it's so much fun to play.,en,I love play this game it 's so much fun to play .
113,113,5,I think the game is AWESOME!!!!,en,I think the game be AWESOME exclamation_point exclamation_point exclamation_point exclamation_point
115,115,5,It is nice I have it for 4 years but now I it tells me there is a update but the play store says there is not and I can't play it anymore,en,It be nice I have it for 4 year but now I it tell me there be a update but the play store say there be not and I ca n't play it anymore
120,120,5,Ruined a great game with the new update,en,Ruined a great game with the new update
132,132,5,Love it,en,Love it
157,157,5,it's a nice game!,en,it 's a nice game exclamation_point
158,158,5,the best game,en,the best game
160,160,5,This game is cool,en,This game be cool
171,171,4,Cool,en,Cool
175,175,4,I love it but it could be better,en,I love it but it could be good
176,176,5,The best game ever seen!!!!,en,The best game ever see exclamation_point exclamation_point exclamation_point exclamation_point
178,178,5,My brother is caca,en,My brother be caca
